,pid,Beryl,nclus,#pids
391,e10a7a75-4740-41d1-82bb-7696ed14c442,MRN,20,74
392,e10a7a75-4740-41d1-82bb-7696ed14c442,SCm,16,38
393,e10a7a75-4740-41d1-82bb-7696ed14c442,RSPd,20,21
398,0eb65305-bb95-4bf1-a154-1b810c0cff25,VPL,10,17
399,0eb65305-bb95-4bf1-a154-1b810c0cff25,VPM,19,33
402,0eb65305-bb95-4bf1-a154-1b810c0cff25,CA1,12,118
403,0eb65305-bb95-4bf1-a154-1b810c0cff25,SSp-bfd,15,22
404,0eb65305-bb95-4bf1-a154-1b810c0cff25,VISrl,10,5
405,f9656eee-141c-453d-a016-4aba68f674dc,CP,205,58
412,d585f4b5-d154-4666-92c4-eb219f1e0f02,VISa,36,41
413,d585f4b5-d154-4666-92c4-eb219f1e0f02,VISam,11,16
414,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,PO,27,42
415,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,LP,49,59
418,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,VISa,49,41
420,acf04c3f-650a-4de0-b0d0-edf695dd2025,ILA,44,9
421,acf04c3f-650a-4de0-b0d0-edf695dd2025,PL,15,15
422,acf04c3f-650a-4de0-b0d0-edf695dd2025,MOs,82,39
423,5458cb27-d065-4626-bcd8-1aa775e1115e,TTd,25,11
424,5458cb27-d065-4626-bcd8-1aa775e1115e,DP,13,13
427,5458cb27-d065-4626-bcd8-1aa775e1115e,ACAd,45,15
429,bf591043-03c2-48bb-9197-e17e85aaeb8f,GPe,15,8
430,bf591043-03c2-48bb-9197-e17e85aaeb8f,CP,24,58
432,2d2cdf86-4a0c-42d8-aed3-5b187f160013,CP,41,58
433,2d2cdf86-4a0c-42d8-aed3-5b187f160013,MOp,54,30
434,79628a45-c2e3-4206-97df-4c91edaff90f,CP,52,58
435,79628a45-c2e3-4206-97df-4c91edaff90f,MOp,56,30
438,c42574be-0456-437f-8329-afc5a63b7e78,SI,13,23
439,c42574be-0456-437f-8329-afc5a63b7e78,GPe,11,8
440,e88eb9f8-fff3-469a-854d-d16adef19df0,MOp,64,30
443,69f42a9c-095d-4a25-bca8-61a9869871d3,Eth,13,16
445,69f42a9c-095d-4a25-bca8-61a9869871d3,LP,20,59
448,69f42a9c-095d-4a25-bca8-61a9869871d3,VISam,11,16
449,69f42a9c-095d-4a25-bca8-61a9869871d3,VISpm,33,11
450,8169d556-f994-4735-b4c8-f7c85ddc39b0,MRN,14,74
451,8169d556-f994-4735-b4c8-f7c85ddc39b0,APN,18,40
454,8169d556-f994-4735-b4c8-f7c85ddc39b0,VISpm,44,11
455,5a9f8899-556a-43ea-892d-5e35b969ff38,BMA,14,9
456,50f1512d-dd41-4a0c-b3ab-b0564f0424d7,MRN,17,74
459,50f1512d-dd41-4a0c-b3ab-b0564f0424d7,DG,30,95
461,50f1512d-dd41-4a0c-b3ab-b0564f0424d7,CA1,13,118
462,f4ff3ff8-19b7-40c7-bf6f-8b577b811ed1,COAa,14,2
465,f4ff3ff8-19b7-40c7-bf6f-8b577b811ed1,CP,53,58
466,35897454-8702-4dc4-9865-7f01fa65f355,GRN,10,12
471,9f99bd34-40d4-4aac-ae2b-7bc7f7086ccb,AON,12,14
472,9f99bd34-40d4-4aac-ae2b-7bc7f7086ccb,ORBvl,16,7
473,9f99bd34-40d4-4aac-ae2b-7bc7f7086ccb,ORBl,59,9
474,9f99bd34-40d4-4aac-ae2b-7bc7f7086ccb,FRP,13,10
475,9f99bd34-40d4-4aac-ae2b-7bc7f7086ccb,MOs,82,39
477,62a97aee-9f8b-40be-9ea7-f785ede30df8,DP,17,13
478,62a97aee-9f8b-40be-9ea7-f785ede30df8,ORBm,10,8
479,62a97aee-9f8b-40be-9ea7-f785ede30df8,ORBvl,157,7
480,62a97aee-9f8b-40be-9ea7-f785ede30df8,FRP,14,10
489,7bc16ab1-1b0d-4f52-9e4b-210106ea344c,GRN,14,12
490,7bc16ab1-1b0d-4f52-9e4b-210106ea344c,IRN,19,22
493,7bc16ab1-1b0d-4f52-9e4b-210106ea344c,NOD,15,9
494,8d0a5caf-2be2-48c1-bf1a-f538bacd46b4,IP,10,20
495,8d0a5caf-2be2-48c1-bf1a-f538bacd46b4,CUL4 5,167,25
497,516b2043-0176-49a3-a986-132b3d02f28a,MPO,11,3
499,516b2043-0176-49a3-a986-132b3d02f28a,MS,22,5
500,516b2043-0176-49a3-a986-132b3d02f28a,LSr,43,24
501,44f5caad-c703-4279-866b-0303e57d2a7f,V,12,6
506,44f5caad-c703-4279-866b-0303e57d2a7f,POST,15,12
510,f74a6b9a-b8a5-4c80-9c30-7dd4cdbb48c0,MS,27,5
511,f74a6b9a-b8a5-4c80-9c30-7dd4cdbb48c0,LSr,52,24
513,e42e948c-3154-45cb-bf52-408b7cda0f2f,MRN,13,74
515,e42e948c-3154-45cb-bf52-408b7cda0f2f,DG,14,95
516,e42e948c-3154-45cb-bf52-408b7cda0f2f,ProS,28,15
519,f967a527-257f-404a-871d-b91575dca3b4,PO,65,42
520,f967a527-257f-404a-871d-b91575dca3b4,LD,38,16
521,f967a527-257f-404a-871d-b91575dca3b4,CA3,13,59
522,f967a527-257f-404a-871d-b91575dca3b4,SSp-ul,48,12
525,c07d13ed-e387-4457-8e33-1d16aed3fd92,PO,17,42
526,c07d13ed-e387-4457-8e33-1d16aed3fd92,LP,34,59
527,c07d13ed-e387-4457-8e33-1d16aed3fd92,DG,10,95
532,ad256265-03f2-4b4e-954b-0ba0c5cf6707,PF,11,4
533,ad256265-03f2-4b4e-954b-0ba0c5cf6707,Eth,13,16
534,ad256265-03f2-4b4e-954b-0ba0c5cf6707,PO,10,42
535,ad256265-03f2-4b4e-954b-0ba0c5cf6707,LP,10,59
537,94e948c1-f7be-4868-893a-f7cd2df3313e,MRN,14,74
538,94e948c1-f7be-4868-893a-f7cd2df3313e,APN,38,40
542,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,MRN,23,74
543,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,APN,15,40
544,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,POL,19,13
545,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,LP,12,59
547,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,CA1,12,118
548,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,VISp,38,26
549,b83407f8-8220-46f9-9b90-a4c9f150c572,MRN,24,74
550,b83407f8-8220-46f9-9b90-a4c9f150c572,SCm,29,38
554,b83407f8-8220-46f9-9b90-a4c9f150c572,VISpm,35,11
555,eebcaf65-7fa4-4118-869d-a084e84530e2,RN,28,11
556,eebcaf65-7fa4-4118-869d-a084e84530e2,MRN,23,74
557,eebcaf65-7fa4-4118-869d-a084e84530e2,SCm,15,38
560,eebcaf65-7fa4-4118-869d-a084e84530e2,SUB,43,22
561,eebcaf65-7fa4-4118-869d-a084e84530e2,ProS,13,15
562,eebcaf65-7fa4-4118-869d-a084e84530e2,VISam,51,16
563,2e720cee-05cc-440e-a24b-13794b1ac01d,GRN,11,12
564,2e720cee-05cc-440e-a24b-13794b1ac01d,IRN,21,22
565,2e720cee-05cc-440e-a24b-13794b1ac01d,MV,33,19
567,a94a0023-d461-49fa-8cc6-032237039c27,RN,22,11
568,a94a0023-d461-49fa-8cc6-032237039c27,MRN,35,74
569,a94a0023-d461-49fa-8cc6-032237039c27,SCm,43,38
570,a94a0023-d461-49fa-8cc6-032237039c27,SUB,13,22
573,f9d8aacd-b2a0-49f2-bd71-c2f5aadcfdd1,MRN,28,74
574,f9d8aacd-b2a0-49f2-bd71-c2f5aadcfdd1,POL,29,13
575,f9d8aacd-b2a0-49f2-bd71-c2f5aadcfdd1,APN,16,40
578,f9d8aacd-b2a0-49f2-bd71-c2f5aadcfdd1,CA1,29,118
579,f9d8aacd-b2a0-49f2-bd71-c2f5aadcfdd1,VISp,37,26
580,6358854e-51d2-47de-a278-5cbfd155feb6,MS,17,5
581,6358854e-51d2-47de-a278-5cbfd155feb6,LSr,98,24
