source name,source #neur,target name,target #neur,Granger score,corrected p,eid
Eth,32,VISa,29,0.004256248474976129,0.014241301281867801,56b57c38-2699-4091-90a8-aba35103155e
LGd,17,CA1,11,0.004250678577128606,0.014241301281867801,6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4
VISl,29,SUB,85,0.0042505074300267336,1.0,35ed605c-1a1a-47b1-86ff-2b56144f55af
ANcr2,23,PRM,44,0.004248904533857505,0.014241301281867801,537677fe-1e24-4755-948c-fa4a4e8ecce5
GRN,15,MV,47,0.004246502337366809,0.014241301281867801,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1
PO,76,LP,43,0.004245356855562919,0.014241301281867801,72cb5550-43b4-4ef0-add5-e4adfdfb5e02
PRM,11,ANcr2,23,0.004237861876076809,0.014241301281867801,f84045b0-ce09-4ace-9d11-5ea491620707
PFL,15,PRM,44,0.0042369008654425215,0.014241301281867801,537677fe-1e24-4755-948c-fa4a4e8ecce5
VISli,14,SUB,85,0.004236672912218786,1.0,35ed605c-1a1a-47b1-86ff-2b56144f55af
NLL,33,SCm,31,0.004235282752105079,0.014241301281867801,b182b754-3c3e-4942-8144-6ee790926b58
PB,25,LP,24,0.004233474318616439,0.014241301281867801,6ed57216-498d-48a6-b48b-a243a34710ea
CP,12,VISli,14,0.004232483231815749,0.014241301281867801,35ed605c-1a1a-47b1-86ff-2b56144f55af
ANcr1,91,DN,20,0.004231313440715161,0.014241301281867801,aec5d3cc-4bb2-4349-80a9-0395b76f04e2
CENT3,16,DCO,12,0.004230479521668948,0.014241301281867801,aec5d3cc-4bb2-4349-80a9-0395b76f04e2
LSr,46,MS,41,0.004229812656034606,0.014241301281867801,6364ff7f-6471-415a-ab9e-632a12052690
SMT,58,CA1,15,0.004228491508289934,0.014241301281867801,ee40aece-cffd-4edb-a4b6-155f158c666a
MDRN,27,SPVI,11,0.0042269048731039625,0.014241301281867801,1928bf72-2002-46a6-8930-728420402e01
MV,68,IRN,38,0.004223572959716156,0.014241301281867801,32d27583-56aa-4510-bc03-669036edad20
TRN,60,CLI,13,0.0042184513499385545,0.02767001237569209,a66f1593-dafd-4982-9b66-f9554b6c86b5
Eth,25,CP,54,0.004218329277400057,0.014241301281867801,7af49c00-63dd-4fed-b2e0-1b3bd945b20b
