,region,combined_p-value,combined_sig,n_sessions,n_units_mean,values_std,values_median,valuesminusnull_median,frac_sig,values_median_sig,null_median_of_medians
68,ProS,0.7227348005434613,False,6.0,25.166666666666668,0.017296199889816524,0.5579483902248694,0.0008412992564062471,0.0,,0.5565518075829627
69,HATA,,,,,,,,,,
70,APr,,,,,,,,,,
71,CLA,,,,,,,,,,
72,EPd,0.875464813689678,False,3.0,17.0,0.014154375498021255,0.4989282500798189,-0.014778461934657705,0.0,,0.5167659045199534
73,EPv,0.05375835818904685,False,2.0,22.0,0.02898838823096328,0.5711266724819236,0.03536674510972965,0.5,0.6001150607128869,0.535759927372194
74,LA,,,,,,,,,,
75,BLA,0.7489575615979208,False,5.0,16.0,0.04764673307251162,0.5376797385620915,-0.01622479527898435,0.0,,0.5455263157894736
76,BMA,0.3397144542254502,False,5.0,14.0,0.05971508262987465,0.5314170349326599,0.006488556481662466,0.0,,0.5274673180129352
77,PA,0.27944369121120305,False,3.0,19.0,0.049220666354115754,0.6258349146110057,0.008393418183241574,0.0,,0.5680266101495348
78,CP,0.010774690493220105,True,37.0,42.945945945945944,0.055792623820848264,0.5828553595479781,0.010456389983266257,0.10810810810810811,0.6600313981311743,0.5637527036770008
79,ACB,0.5649118245761453,False,10.0,19.2,0.03772619064984397,0.5398132964983666,0.007362318970524195,0.0,,0.536947945151603
80,FS,,,,,,,,,,
81,OT,0.14275481682307556,False,2.0,10.0,0.010326514820385324,0.5451599694982157,0.03045522646042534,0.0,,0.5147047430377903
82,LSc,,,,,,,,,,
83,LSr,0.28764705901371723,False,22.0,34.59090909090909,0.04401010218890936,0.5459728025003239,-0.002611571511384525,0.045454545454545456,0.5623002129063212,0.5333867304357767
84,LSv,0.4407332738062676,False,3.0,18.666666666666668,0.009748508010691092,0.5217869137579466,0.0004555273593230824,0.0,,0.5066395165528114
85,SF,,,,,,,,,,
86,SH,,,,,,,,,,
87,AAA,,,,,,,,,,
88,BA,,,,,,,,,,
89,CEA,0.6269199612765397,False,3.0,18.333333333333332,0.017185154667003974,0.5377275025278058,-0.006988147138403122,0.0,,0.5265029606408917
90,IA,,,,,,,,,,
91,MEA,0.21052050023169422,False,4.0,23.75,0.04580848469763427,0.5378816798941799,0.014122990771434751,0.25,0.6082957393483709,0.5258121765986217
92,GPe,0.384909015030494,False,3.0,19.333333333333332,0.005732932962690403,0.5835223412594721,0.007840115928789193,0.0,,0.5756822253306829
93,GPi,,,,,,,,,,
94,SI,0.6776289930858986,False,5.0,12.8,0.03488229018718118,0.5306637168141594,-0.018480503163394002,0.0,,0.5491442199775534
95,MA,,,,,,,,,,
96,MS,0.6479633841504162,False,3.0,13.666666666666666,0.02014033086680643,0.5272916666666667,0.0102281746031746,0.0,,0.5434768314380755
97,NDB,,,,,,,,,,
98,TRS,,,,,,,,,,
99,BST,0.13893615630999762,False,5.0,13.8,0.049570127421936956,0.5303214983436677,0.02373545453351167,0.2,0.6302743048743512,0.5112697521456646
100,VAL,0.13726108234065676,False,4.0,16.25,0.0066581671210630055,0.5728815668509288,0.02284541522918071,0.0,,0.5520791074588283
101,VM,,,,,,,,,,
102,VPL,0.09715507544225124,False,6.0,22.666666666666668,0.014557669488902612,0.591767556036386,0.028467065969770944,0.0,,0.5725250816256914
103,VPLpc,,,,,,,,,,
104,VPM,0.005161330722979143,True,16.0,28.125,0.03874236316893137,0.596760644383576,0.03420655723579058,0.1875,0.6307144673277396,0.5597036196330551
105,VPMpc,,,,,,,,,,
106,PoT,0.7401500797987004,False,4.0,18.5,0.027396973406455402,0.552517475698985,-0.0002597464662306148,0.0,,0.5676261541325391
107,SPF,,,,,,,,,,
108,SPA,,,,,,,,,,
109,PP,,,,,,,,,,
110,MG,0.034334115997372606,True,7.0,18.714285714285715,0.06300276458502081,0.5623076923076924,0.01078389746752384,0.2857142857142857,0.6613630704807174,0.5586033519553072
